tie_line,phase1_x_2-phenylethanol,phase1_x_camphor,phase1_x_carvacrol,phase1_x_water4C_aparicio2007,phase1_w_2-phenylethanol,phase1_w_camphor,phase1_w_carvacrol,phase1_w_water4C_aparicio2007,phase2_x_2-phenylethanol,phase2_x_camphor,phase2_x_carvacrol,phase2_x_water4C_aparicio2007,phase2_w_2-phenylethanol,phase2_w_camphor,phase2_w_carvacrol,phase2_w_water4C_aparicio2007
213,0.0009336464207719927,1.2650395580162586e-05,0.00038776095177926344,0.9986659422318687,0.006280104605286976,0.00010603757094077669,0.0032073565929765825,0.9904065012307955,0.21716699221802768,0.3087702711949181,0.3084504195446237,0.16561231704243043,0.21594464297638713,0.3826091228132533,0.37716615753267513,0.024280076677684462
214,0.0008975953960748269,1.2733203146196759e-05,0.0003940644895352141,0.9986956069112437,0.006038577646190862,0.0001067487823496316,0.0032600185640077476,0.9905946550074518,0.2085495638686909,0.31386274907623346,0.3135658400526952,0.16402184700238048,0.20659824715654465,0.3874613115644025,0.3819836942606273,0.02395674701842555
215,0.0008642704707860567,1.2808032540121492e-05,0.0003999031624840171,0.9987230183341899,0.005815245132234792,0.00010739201649220329,0.0033088107172064836,0.9907685521340666,0.200587959002612,0.31856038370464773,0.31828546289666443,0.16256619439607595,0.1980281593374292,0.39190885876912823,0.3864004543382493,0.023662527555193283
216,0.0008333688226382172,1.2875973265811996e-05,0.00040532718239532386,0.9987484280217006,0.00560809314952274,0.0001079765033152674,0.0033541496317827883,0.9909297807153791,0.19321032048365142,0.32290734042473423,0.32265347554464985,0.16122886354696458,0.19014144849258882,0.3960003940807817,0.39046450289610884,0.023393654530520672
217,0.0008046316156553611,1.2937928405764542e-05,0.00041037973964971484,0.9987720507162892,0.005415399360947737,0.0001085099000301843,0.0033963938176868264,0.9910796969213351,0.18635487360818645,0.32694144059054625,0.3267077296089518,0.15999595619231555,0.18285945411491678,0.3997770501781813,0.3942165084617475,0.023146987245154446
218,0.0007778360476620291,1.299464871922204e-05,0.0004150981213701406,0.9987940711822486,0.005235680437844788,0.00010899857808039802,0.0034358529378122216,0.9912194680462627,0.17996822887534347,0.33069526345150685,0.3304808395142008,0.15885566815894875,0.17611514784098523,0.40327385511620356,0.39769111454688644,0.02291988249592485
219,0.000752789300556988,1.3046766276199106e-05,0.0004195147527977278,0.9988146491803691,0.005067652055595844,0.00010944790590587729,0.0034727963981254517,0.9913501036403728,0.17400400968972377,0.3341970187232953,0.3340010527752762,0.1577979188117046,0.1698510589107746,0.4065208241016077,0.4009180154575308,0.022710101530086905
220,0.0007072920788970411,1.3139250113014791e-05,0.0004275525519698336,0.9988520161190202,0.0047623337570293035,0.00011024599904431899,0.0035400489793639637,0.9915873712645623,0.16318595662020385,0.34053944911188583,0.34037806752609856,0.15589652674181173,0.15857189551366332,0.4123652767800332,0.4067276877788656,0.022335139927437794
221,0.0006865658898837353,1.318046177999561e-05,0.00043122046997671494,0.9988690331783596,0.004623205414858389,0.00011060195831762725,0.0035707469126906406,0.9916954457141334,0.15826542078624356,0.34342043808971445,0.34327526000485925,0.1550388811191827,0.15347642861997013,0.4150046941893748,0.40935197139763024,0.022166905793024883
222,0.000667031208031097,1.3218785791019819e-05,0.00043468108042121257,0.9988850689257566,0.0044920517592403125,0.00011093316056324143,0.003599714601537554,0.9917973004786589,0.15363254643001686,0.34613084658385995,0.34600119602308327,0.15423541096303994,0.1486984689144873,0.41747915499967864,0.4118125725989507,0.022009803486883216
223,0.0006485872203550264,1.3254513917359581e-05,0.00043795160320266757,0.998900206662525,0.0043681999535489765,0.00011124209302914357,0.0036270953855679516,0.9918934625678538,0.14926286355975332,0.3486853823536896,0.3485706189720582,0.15348113511449882,0.1442092201617399,0.41980366298395444,0.4141243530021623,0.02186276385214338
224,0.000631144273149988,1.328789928958302e-05,0.0004410473842253296,0.9989145204433351,0.004251051440692838,0.00011153091511127113,0.0036530170452960704,0.9919844005988997,0.1451345971649058,0.3510971131069772,0.3509966305761331,0.1527716591519839,0.13998326778081221,0.4219914555529022,0.41630042733912914,0.021724849327156504
225,0.0006146223590580566,1.3319163584436049e-05,0.00044398215165226924,0.9989280763257053,0.004140071897791985,0.00011180151903868867,0.003677593924223648,0.9920705326589457,0.14122830530556357,0.3533776851905261,0.35329090950355324,0.15210310000035718,0.1359980962292141,0.4240542557396526,0.41835241231458875,0.021595235716544568
226,0.0005989498425989303,1.3348501486626883e-05,0.00044676822329485857,0.9989409334326197,0.004034782770474994,0.00011205556765923381,0.0037009286474028965,0.9921522330144629,0.13752657581559927,0.3555375125211546,0.3554639002706073,0.15147201139263886,0.13223368702575014,0.42600248296528215,0.42029063480610346,0.021473195202864236
227,0.0005840623848367587,1.3376084666515207e-05,0.0004494166843371732,0.9989531448461596,0.003934754126900906,0.00011229452812086822,0.003723113594687142,0.992229837750291,0.13401376861953307,0.35758593531838684,0.35752497198948535,0.15087532407259477,0.1286721818162973,0.4278454294005656,0.4221243061224829,0.021358082660654
228,0.0005699020310861744,1.3402065076277674e-05,0.00045193753887174466,0.9989647583649658,0.0038395985928010995,0.00011251969979888321,0.0037442321573644406,0.9923036495500356,0.13067579627133696,0.3595313549790537,0.3594825532853146,0.15031029546429472,0.12529759857674794,0.42959140845050925,0.42386166875150044,0.021249324221242358
229,0.0005564164284210999,1.3426577495178608e-05,0.000454339834934309,0.9989758171591494,0.0037489661472778317,0.00011273223589723865,0.003764359775689775,0.9923739418411351,0.12749993629378006,0.3613813492335164,0.3613442475129033,0.14977446695980023,0.12209559142775936,0.4312478803817722,0.4255101205458258,0.021146407644642613
230,0.0005435581773976457,1.3449742696953303e-05,0.00045663179392080815,0.9989863602859846,0.0036625398103961302,0.00011293317021414188,0.0037835650117216484,0.9924409620076681,0.12447466971084754,0.36314276980866483,0.36311693049061455,0.14926562998987308,0.11905324638614209,0.43282155891927804,0.42707632011856744,0.02104887457601236
231,0.0005312842287698248,1.3471667893347208e-05,0.0004588208753949024,0.9989964232279419,0.0035800316271560446,0.00011312342108952827,0.0038019100893762633,0.9925049348623782,0.12158954272165304,0.3648218287413936,0.36480683689178417,0.1487817916451692,0.11615890708074415,0.4343185026170764,0.4285662772036462,0.020956313098533172
232,0.0005195554128147375,1.3492449537494063e-05,0.000460913884185862,0.999006038253462,0.003501179534612537,0.00011330381506350017,0.003819451782117327,0.9925660648682068,0.1188350461232472,0.36642417023061835,0.3664196321762203,0.1483211514699141,0.1134020252075801,0.43574419271886333,0.42998542966986897,0.020868352403687583
233,0.002915635796268435,3.778300169225447e-06,6.705980292876591e-05,0.9970135261006335,0.019437536352685584,3.1388866004675006e-05,0.0005497547006254653,0.9799813200806843,0.6333043454692461,0.04599107483674594,0.045757407085503306,0.27494717260850476,0.8042759914275431,0.07278425138004277,0.07145831591802135,0.05148144127439277
234,0.002583766269036164,6.0178104307000026e-06,0.0001169260558477225,0.9972932898646854,0.017251127258683618,5.006958372727867e-05,0.0009600067541870302,0.9817387964034021,0.5783416376949463,0.08380946365102537,0.08344620722131078,0.2544026914327176,0.702806330435829,0.12691574075556145,0.1246971535065446,0.045580775302064905
