tie_line,phase1_x_2-phenylethanol,phase1_x_thymol,phase1_x_carvacrol,phase1_x_water4C_aparicio2007,phase1_w_2-phenylethanol,phase1_w_thymol,phase1_w_carvacrol,phase1_w_water4C_aparicio2007,phase2_x_2-phenylethanol,phase2_x_thymol,phase2_x_carvacrol,phase2_x_water4C_aparicio2007,phase2_w_2-phenylethanol,phase2_w_thymol,phase2_w_carvacrol,phase2_w_water4C_aparicio2007
344,0.001341350873242009,0.0001828727706498015,0.00030678769298937524,0.9981689886631188,0.008995634572370728,0.0015081244710969106,0.002530032358478652,0.9869662085980536,0.3087725463557075,0.2060717841175201,0.20603286569004167,0.27912280383673077,0.3604249064008646,0.2957967375945095,0.29574087383844155,0.04803748216618434
345,0.0012925094439553296,0.00018720706246298636,0.00031438720514679,0.9982058962884348,0.008669754589871273,0.0015441661982228225,0.0025932039579831616,0.9871928752539227,0.29835191226385527,0.21152886933377596,0.21149459735001364,0.27862462105235497,0.34707291868048384,0.30259398011859395,0.3025449537327117,0.04778814746821064
346,0.0012470975181459603,0.0001912348098828751,0.0003214622347356541,0.9982402054372356,0.00836664385084874,0.0015776713883871188,0.0026520368885771623,0.987403647872187,0.2886103891725331,0.21662729634628636,0.216597630338406,0.27816468414277457,0.3346756364947963,0.3089043688812652,0.3088620659970208,0.047557928626917684
347,0.001204766508029107,0.0001949873874707875,0.00032806514459829904,0.9982721809599019,0.008083999125463912,0.001608898423261434,0.002706962233392223,0.9876001402178824,0.27948382502063085,0.2214012663342233,0.22137614487048826,0.27773876377465756,0.32313412521068063,0.3147784414381754,0.3147427248619693,0.04734470848917466
348,0.0011652134493611295,0.00019849203242452602,0.0003342415654314304,0.998302052952783,0.007819817219112929,0.0016380717681424987,0.0027583559167855464,0.987783755095959,0.27091588794141985,0.22588077563396253,0.22586012188897145,0.27734321453564614,0.3123626734850557,0.32025997108863163,0.3202306876414009,0.04714666778491177
349,0.0011281737879404424,0.0002017725058009764,0.0003400314439761122,0.9983300222622824,0.007572347752022576,0.0016653873683188654,0.0028065472517232373,0.9879557176279353,0.26285690502471426,0.2300922359533011,0.23007596201673639,0.2769748970052483,0.3022866526720754,0.32538706119840843,0.32536404726066737,0.04696223886884866
350,0.0010934155167018262,0.00020484963645147142,0.00034546991048112566,0.9983562649363656,0.007340054743421182,0.00169101709262391,0.002851826020932337,0.9881171021430226,0.25526290684708486,0.23405899120397597,0.23404700141665333,0.27663110053228585,0.29284078025914273,0.3301930343595844,0.33017612005846303,0.04679006532280986
351,0.0010607342682910964,0.00020774174331360435,0.0003505879567030623,0.9983809360316922,0.007121584419164095,0.0017151121861360892,0.002894448016382833,0.9882688553783169,0.24809484223519593,0.23780175735499032,0.23779395088859476,0.2763094495212189,0.2839677021205375,0.33470716157049657,0.33469617393004253,0.046628962378923354
352,0.0010299494011051583,0.0002104650229771972,0.0003554130592905069,0.9984041725166272,0.006915739523505193,0.0017378064419758018,0.0029346401376360216,0.988411813896883,0.2413179027478095,0.2413389746762407,0.24133524753423655,0.27600787504171326,0.2756168222847696,0.3389552584798687,0.3389500237912607,0.046477895444101
353,0.0031082604758334983,2.444315975551617e-05,3.937030307375782e-05,0.9968279260613373,0.020700093211079254,0.00020017552437964458,0.00032242030660526523,0.9787773109579359,0.6496400536606042,0.025135252939164344,0.02511185159084501,0.3001128418093864,0.8596797321358665,0.04090212653239486,0.040864045956388616,0.05855409537535002
