tie_line,phase1_x_2-phenylethanol,phase1_x_thymol,phase1_x_eugenol,phase1_x_water4C_aparicio2007,phase1_w_2-phenylethanol,phase1_w_thymol,phase1_w_eugenol,phase1_w_water4C_aparicio2007,phase2_x_2-phenylethanol,phase2_x_thymol,phase2_x_eugenol,phase2_x_water4C_aparicio2007,phase2_w_2-phenylethanol,phase2_w_thymol,phase2_w_eugenol,phase2_w_water4C_aparicio2007
193,0.0014748866592189794,0.0001348544630548835,3.9362611636171005e-06,0.9983863226165625,0.009908817664557526,0.001114107883446516,3.5546039867926175e-05,0.988941528412128,0.3331639552968031,0.19140084529256104,0.19158973951929983,0.283845459891336,0.3838727413433656,0.2711888627244314,0.2967191939046958,0.04821920202750719
194,0.0013771479899440313,0.00014016941508395665,4.155973653113896e-06,0.9984785266213189,0.009256982464090955,0.0011586194721646713,3.754963699380837e-05,0.9895468484267504,0.31181964865091266,0.20141278402256865,0.20158752308953118,0.28518004423698756,0.35738451975440033,0.28386903748982667,0.3105560802416521,0.048190362514120934
195,0.0012914194143056105,0.00014472550409910478,4.350893566850019e-06,0.9985595041880283,0.008684693082882581,0.0011968258714057608,3.9328714599215623e-05,0.9900791523311124,0.29298558868210745,0.21016620667514155,0.2103269898066633,0.2865212148360877,0.33431362634110917,0.2948963782232665,0.3225870689760898,0.04820292645953461
196,0.0012156377408298936,0.00014867345774443732,4.524943658351927e-06,0.9986311638577673,0.008178374294638018,0.0012299713166152191,4.091853843015724e-05,0.9905507358503165,0.2762541675828793,0.21788086397449744,0.21802814893456662,0.28783681950805673,0.3140393435898692,0.30457415270646915,0.33314394079979515,0.04824256290386651
197,0.0011481827857578355,0.00015212680415230628,4.681264734053857e-06,0.9986950091453558,0.007727347290371711,0.0012589946227365052,4.234739798883123e-05,0.990971310688903,0.2612991009293853,0.2247289487813036,0.22486332689238794,0.28910862339692317,0.2960825619584482,0.3131357612375933,0.34248194018351696,0.04829973662044144
198,0.0010877652362092617,0.0001551726267112289,4.8224020978288515e-06,0.9987522397349816,0.007323100991338636,0.0012846170850221521,4.363825709533866e-05,0.9913486436665438,0.2478567551040981,0.23084709031191805,0.2309692123882337,0.2903269421957501,0.280067616049031,0.3207637436272211,0.3508006239149396,0.048368016408808376
199,0.0010333468011294086,0.00015787879610668242,4.950440297005453e-06,0.9988038239624669,0.006958771946433218,0.0013074016967136257,4.48099501281045e-05,0.9916890164067251,0.23571219508206764,0.23634495991791027,0.23645549243926392,0.2914873525607582,0.26569582005057796,0.3276029084714439,0.3582582539343308,0.04844301754364733
200,0.0009840823630843177,0.00016029896659374435,5.06710244137406e-06,0.9988505515678805,0.006628766739103645,0.0013277941308192092,4.587806598328445e-05,0.9919975610640939,0.2246886815463709,0.24131152749047377,0.24141112701321113,0.29258866394994415,0.25272672458260287,0.3337695977110928,0.36498194836608155,0.04852172934022271
201,0.0009392773576748118,0.00016247609971597053,5.173824929956818e-06,0.9988930727176792,0.006328483256465731,0.00134615169028221,4.685561472007843e-05,0.992278509438532,0.21463970469810653,0.24581967458155754,0.24590897326276076,0.2936316474575752,0.2409645915027268,0.3393583509400274,0.3710749802665701,0.04860207729067564
202,0.0008983558641484432,0.00016444498608274665,5.271814084797293e-06,0.998931927335684,0.006054101638758306,0.0013627640577332457,4.775353383159552e-05,0.9925353807696768,0.20544289013683775,0.24992964045302302,0.2500092383797881,0.2946182310303512,0.23024846848311953,0.3444467823385679,0.37662211675608437,0.04868263242222824
203,0.0008608364965045921,0.00016623410089097526,5.362090514164786e-06,0.9989675673120902,0.005802426091677134,0.0013778685848593825,4.8581085617559166e-05,0.9927711242378459,0.19699529506956434,0.25369162704608583,0.2537620887418157,0.29555098914253414,0.22044479366091083,0.3490992051102294,0.3816935855996264,0.04876241562923337
204,0.0008263138548420731,0.0001678669655983603,5.445523007374361e-06,0.9990003736565521,0.005570762998328488,0.0013916615275132527,4.9346161260521306e-05,0.9929882293128977,0.1892097462090687,0.25714779066443816,0.25720964412836056,0.29643281899813256,0.21144180911059748,0.3533693631034443,0.38634806376431957,0.048840764021638707
205,0.0007944441526381825,0.0001693631697763593,5.522855233096635e-06,0.9990306698223523,0.005356826348319797,0.001404306487455139,5.0055520706695075e-05,0.9931888116435184,0.18201196479499085,0.2603337813558385,0.2603875186169512,0.29726673523221947,0.20314528748755162,0.3573025160640029,0.39063495818749844,0.048917238260946974
206,0.0007649340615896465,0.00017073917456453982,5.5947281158220705e-06,0.99905873203573,0.005158664260560135,0.0014159410571491378,5.0714994033393754e-05,0.9933746796882573,0.17533829066984186,0.2632799439115793,0.2633260224640477,0.29805574295453124,0.19547522535501172,0.36093704998748793,0.3945961666960048,0.04899155796149551
207,0.0007375317723128975,0.0001720088993184969,5.661696261071803e-06,0.9990847976321074,0.004974600022876083,0.0014266816777030336,5.132962940804668e-05,0.9935473886700129,0.16913386711433878,0.26601226419159707,0.2660511088945263,0.2988027597995378,0.1883632575866629,0.3643057342229319,0.3982674523235007,0.04906355586690447
208,0.0007120199439093244,0.00017318419657714502,5.724242094079537e-06,0.9991090716174194,0.004803185549731461,0.0014366275754146497,5.190382061060601e-05,0.9937082830542433,0.1633511820641761,0.26855312083346494,0.2685851260307608,0.2995105710715982,0.18175061578614005,0.36743671244003584,0.40167952646781196,0.049133145306012135
209,0.0006882100331670175,0.00017427522443670695,5.782787309968683e-06,0.9991317319550864,0.004643163911416845,0.0014458638510912477,5.244141041455307e-05,0.9938585308270774,0.15794888767640877,0.2709218874339439,0.2709474191359855,0.30018180575366177,0.17558650179914842,0.3703542909804041,0.4048589104217838,0.049200296798663744
210,0.0006659376544859246,0.0001752907256261793,5.8377014519037235e-06,0.999152933918436,0.004493438642228699,0.0014544637981773341,5.29457681069061e-05,0.9939991517914871,0.15289083870412506,0.2731354185299325,0.27315481655949087,0.3008189262064516,0.16982678110345711,0.373079571304705,0.4078286264075929,0.04926502118424513
211,0.0006450589066719351,0.0001762382855590342,5.889310709548793e-06,0.9991728134970594,0.004353049433962076,0.001462491046306444,5.3419869066996066e-05,0.9941310396506644,0.14814530413369154,0.2752084445615988,0.2752220246141366,0.30142422669057295,0.16443292500744355,0.3756309613470248,0.41060875622186405,0.0493273574236676
212,0.0006254472420009578,0.00017712450303109583,5.93790331317937e-06,0.9991914903516548,0.0042211513916344005,0.0014700009823083442,5.386634360665065e-05,0.9942549812824506,0.14368431709578477,0.2771538951395228,0.2771619507210766,0.30199983704361577,0.15937114813455566,0.37802459200891286,0.4132168961737627,0.04938736368276881
213,0.0006069909544095284,0.00017795515188583663,5.983734922889005e-06,0.9992090701587818,0.004096998385348225,0.0014770420955177333,5.4287525781731755e-05,0.9943716719933523,0.13948313588731873,0.27898316562944714,0.27898596986218555,0.3025477286210487,0.15461170040234248,0.3802746587839637,0.4156685301991721,0.04944511061452167
214,0.002954646191113029,3.562972421595722e-05,8.552276229646176e-07,0.997008868857048,0.01969811530031122,0.0002920992128044276,7.66381549429067e-06,0.98000212167139,0.628700696469239,0.039750693993192185,0.03985730259500673,0.29169130694256207,0.8121046748379649,0.06314100902852852,0.06920223191409955,0.05555208421940716
215,0.0026315958157730208,6.0603534458691404e-05,1.5028402773734243e-06,0.9973062978094909,0.01757340486914726,0.0004976607784275892,1.3489432592654104e-05,0.9819154449198324,0.5705128263978607,0.07203381083905595,0.07219231972047675,0.2852610430426067,0.7147604378489482,0.11097629411110962,0.1215710644144548,0.052692203625487447
