tie_line,phase1_x_2-phenylethanol,phase1_x_thymol,phase1_x_camphor,phase1_x_water4C_aparicio2007,phase1_w_2-phenylethanol,phase1_w_thymol,phase1_w_camphor,phase1_w_water4C_aparicio2007,phase2_x_2-phenylethanol,phase2_x_thymol,phase2_x_camphor,phase2_x_water4C_aparicio2007,phase2_w_2-phenylethanol,phase2_w_thymol,phase2_w_camphor,phase2_w_water4C_aparicio2007
61,0.00033859889906524284,0.0002832107210593073,1.3854284640944317e-05,0.9993643360952345,0.002287085659814711,0.002352368268389868,0.00011661440979973911,0.9952439316619957,0.07711433900748395,0.38694599824006326,0.3872085756792275,0.1487310870732252,0.0729288845387393,0.4500010465862315,0.4563316813772391,0.020738387497790164
62,0.0003243476372133762,0.0002846085139664998,1.3878944521767476e-05,0.9993771649042984,0.0021909817170529754,0.0023641478672122777,0.00011683035008880204,0.995328040065646,0.07382322922819573,0.3888339565823576,0.38907486588328893,0.14826794830615775,0.06973146954111015,0.45164655025934897,0.4579733208594704,0.020648659340070305
63,0.00031124939109293727,0.0002858935093949696,1.3901433964527097e-05,0.9993889556655475,0.00210264102924515,0.0023749783416819555,0.0001170273709252819,0.9954053532581477,0.07080162030593698,0.3905666421401413,0.39078746846330237,0.14784426909061943,0.06680283086344146,0.4531537220898916,0.45947673030365516,0.020566716743011932
64,0.00029916947825852237,0.00028707885776882517,1.3922026918530969e-05,0.9993998296370541,0.002021158137326553,0.002384970181655336,0.0001172078509014187,0.9954766638301166,0.06801770402665443,0.3921624656956505,0.3923646283900268,0.14745520188766822,0.06411042582544008,0.4545393134158229,0.46085867378188244,0.020491586976854704
65,0.00028799341666575296,0.0002881757214855586,1.3940953640163297e-05,0.9994098899082086,0.0019457631927400159,0.0023942171992226624,0.00011737379045604753,0.9955426458175812,0.06544448808283156,0.39363703041749243,0.3938218050302864,0.1470966764693895,0.06162676403332593,0.45581747331790995,0.462133307475987,0.020422455172777167
66,0.0002776232981881129,0.00028919366481084654,1.3958408247646271e-05,0.9994192246287534,0.0018757976462202113,0.0024027997920733923,0.0001175268772027414,0.9956038756845036,0.06305891954349954,0.3950036576418292,0.3951721944904669,0.14676522832420438,0.059328463320943076,0.4570002368970885,0.463312669702878,0.020358630079090508
67,0.0002679748816208424,0.0002901409243840231,1.3974556428829755e-05,0.9994279096375663,0.0018106947519993422,0.002410787211968813,0.00011766855226319274,0.9956608494837688,0.060841190459461195,0.39627378415990494,0.3964271240284716,0.1464579013521622,0.05719550952427751,0.4580979052020235,0.4644070619931944,0.020299523280504602
68,0.0002589752741894717,0.00029102461401862715,1.3989538873418031e-05,0.9994360105729184,0.0017499640138597017,0.0024182392838891288,0.00011780004033776064,0.9957139966619135,0.058774186672267394,0.39745728685978493,0.3975963743363272,0.14617215213162055,0.05521067096358877,0.45911934724325526,0.46542535194829204,0.020244629844863967
69,0.00024267697195049472,0.00029262529824000346,1.4016477866570425e-05,0.999450681251943,0.0016399665587882445,0.00243173938000825,0.00011803655991976308,0.9958102575012837,0.05503479287062161,0.3995976140039439,0.3997107010533397,0.14565689207209478,0.051627611342188136,0.4609632635316514,0.4672633242553512,0.02014580087080916
70,0.00023527429828080806,0.00029335246272867464,1.4028631382953106e-05,0.9994573446076076,0.00158999985933078,0.0024378729649405005,0.00011814330783200114,0.9958539838678967,0.05333806107703307,0.40056846694506554,0.4006696643321005,0.14542380764580104,0.050005067820184594,0.461798255719793,0.46809551693985896,0.02010115952016343
