tie_line,phase1_x_2-phenylethanol,phase1_x_camphor,phase1_x_carvone,phase1_x_water4C_aparicio2007,phase1_w_2-phenylethanol,phase1_w_camphor,phase1_w_carvone,phase1_w_water4C_aparicio2007,phase2_x_2-phenylethanol,phase2_x_camphor,phase2_x_carvone,phase2_x_water4C_aparicio2007,phase2_w_2-phenylethanol,phase2_w_camphor,phase2_w_carvone,phase2_w_water4C_aparicio2007
50,0.001965968647349094,9.094924152716243e-06,4.108010515134528e-06,0.9980208284179831,0.013183065695407517,7.599939476132056e-05,3.387428280010613e-05,0.9867070606270311,0.4240212999663861,0.22207134659845423,0.22212286356247385,0.13178448987268582,0.42686838170548536,0.27859291265579045,0.27497822975529757,0.019560475883426666
51,0.0017240527002572335,1.0011831312891603e-05,4.362840275545934e-06,0.9982615726281544,0.011576777329193155,8.377643777954783e-05,3.6025099603786897e-05,0.9883034211334235,0.34809148108330423,0.27163886771856954,0.27168540707762606,0.10858424412050018,0.33577019681719744,0.3265215769388348,0.3222654860480657,0.015442740195901996
52,0.001550313409927218,1.0567222386198341e-05,4.5054234424216075e-06,0.9984346139442443,0.01042045282556864,8.851138953388335e-05,3.723929377782981e-05,0.9894537964911198,0.29489779524091025,0.30534998308779204,0.305391132117264,0.0943610895540337,0.27693523533066644,0.35733521196869483,0.3526645820236435,0.0130649706769953
53,0.0014159041188961832,1.0942849202634146e-05,4.597291641302753e-06,0.9985685557402599,0.009524322101649295,9.172798787286265e-05,3.8027783964883645e-05,0.9903459221265128,0.25574079931023863,0.3297515624310272,0.32978791112114897,0.08471972713758527,0.23577268380699778,0.378836272004971,0.37387543760233144,0.011515606585699806
54,0.0013072024086826404,1.1214902304472288e-05,4.6616297927274675e-06,0.9986769210592202,0.008798584562405102,9.406686945700176e-05,3.8583932328294686e-05,0.9910687646358095,0.2257607524654598,0.34823492190747557,0.3482671701149955,0.0777371555120691,0.20534164105646055,0.39470454660403403,0.3895290531400428,0.010424759199462608
55,0.0012166364714961062,1.1421437165891562e-05,4.709245207144366e-06,0.9987672328461309,0.008193241490992214,9.58488491088837e-05,3.899823593270467e-05,0.9916719114239662,0.20208455666069455,0.3627246792011889,0.36275344852904856,0.07243731560906795,0.1819184726939295,0.4069040419540307,0.40156324831697665,0.00961423703506336
56,0.0011395404140530265,1.1583741209003588e-05,4.7459010006728135e-06,0.9988441299437374,0.007677437654386897,9.725381264985572e-05,3.931913675929158e-05,0.992185989396204,0.18291747880813414,0.3743926356214436,0.37441844206463243,0.06827144350578983,0.16332566489051906,0.41657936045969063,0.41110730469729334,0.008987669952496925
57,0.0010728274003300661,1.171471337113633e-05,4.774969527350529e-06,0.9989106829167715,0.007230733622838831,9.839100484301347e-05,3.957508383866685e-05,0.9926313002884795,0.16708437075318852,0.38399270117612927,0.3840159657121949,0.0649069623584873,0.14820438282584059,0.4244430362113863,0.4188641913244279,0.008488389638345214
58,0.0010143465158202129,1.1822650418668117e-05,4.798562852765105e-06,0.9989690322709084,0.006838870668138317,9.933084282939471e-05,3.978395639594173e-05,0.9930220145326364,0.15378481911584074,0.39203187368617215,0.39205293953429454,0.06213036766369261,0.1356625146082172,0.43096202004736495,0.42529457669567367,0.008080888648744131
59,0.0009625384763532713,1.191314261140401e-05,4.8180742419887624e-06,0.9990207303067934,0.00649150126386029,0.00010012086915718249,3.995758835240062e-05,0.99336842027863,0.1424552826629207,0.39886368579019515,0.39888283433187005,0.059798197215014205,0.12508997516114947,0.43645519681721723,0.43071304775229335,0.007741780269339961
60,0.0009162370299575933,1.1990099507738999e-05,4.834461287147069e-06,0.9990669384092475,0.006180878725488025,0.00010079439750634399,4.0104139565284135e-05,0.9936782227374403,0.13268769623916987,0.40474221378921765,0.40475967753609254,0.05781041243551998,0.11605532443829512,0.44114782495100596,0.43534182248720094,0.007455028123498071
61,0.0008745475299457601,1.205633998229256e-05,4.848404340235189e-06,0.9991085477257317,0.005901055318240426,0.00010137549271696721,4.02294257453354e-05,0.9939573397632973,0.12417939180502979,0.4098547787882176,0.40987075152511143,0.05609507788164134,0.10824477843658654,0.445203586086506,0.43934237055759834,0.007209264919309211
62,0.0008367691796783107,1.2113949770636974e-05,4.860400549921997e-06,0.9991462564700011,0.005647368342352174,0.00010188199281905422,4.033770952229863e-05,0.9942104119553066,0.11670116725899657,0.4143425387591003,0.41435718338153255,0.05459911060037055,0.10142462312330235,0.448744303693758,0.44283486743215017,0.006996205750789555
63,0.0008023432320580236,1.216450519849273e-05,4.8708213545597865e-06,0.999180621441389,0.0054160974879946455,0.00010232740271849454,4.043218524007641e-05,0.9944411429240468,0.1100762848015817,0.4183138990990322,0.41832735366355883,0.05328246243582734,0.09541718049828293,0.45186253493808004,0.44591061708082635,0.006809667482810568
64,0.0007708174528140362,1.220922066870819e-05,4.879950077696497e-06,0.9992120933764396,0.005204229600033025,0.00010272214407945714,4.05152965339787e-05,0.9946525329593535,0.10416627652759695,0.4218535019659378,0.4218658843843359,0.05211433712212937,0.09008494672423273,0.4546298715083879,0.44864024112440826,0.006644940642971147
