tie_line,phase1_x_2-phenylethanol,phase1_x_camphor,phase1_x_geraniol,phase1_x_water4C_aparicio2007,phase1_w_2-phenylethanol,phase1_w_camphor,phase1_w_geraniol,phase1_w_water4C_aparicio2007,phase2_x_2-phenylethanol,phase2_x_camphor,phase2_x_geraniol,phase2_x_water4C_aparicio2007,phase2_w_2-phenylethanol,phase2_w_camphor,phase2_w_geraniol,phase2_w_water4C_aparicio2007
51,0.0006238408596681191,1.2703629778120131e-05,4.688080368727679e-05,0.9993165747068665,0.004214118986846021,0.0001069379931139826,0.0003998749276281897,0.9952790680924117,0.13972024858352133,0.3533292020295624,0.3532401945755841,0.15371035481133213,0.133229657391254,0.4198482210363495,0.42531218517496805,0.021609936397428503
52,0.0005785224016866867,1.2791383687003515e-05,4.758026732678943e-05,0.9993611059472995,0.003908984514684204,0.00010770417017175879,0.0004059446255008242,0.9955773666896433,0.12929960348670355,0.35925341111450304,0.35917229959907127,0.15227468579972211,0.12279655972696672,0.42516854853086666,0.430713010459059,0.021321881283107677
53,0.0005393642827122277,1.2865567526534058e-05,4.818320967510994e-05,0.9993995869400861,0.0036452029866121225,0.00010835269199662848,0.00041117945747506343,0.9958352648639162,0.12032655520951896,0.3643461020646813,0.3642720349224124,0.15105530780338758,0.113881900843957,0.4297130814888224,0.4353265994911653,0.021078418176055214
54,0.0005051863323561438,1.2929102298951654e-05,4.870838601149254e-05,0.9994331761793335,0.0034148744074113994,0.00010890874123387228,0.0004157411674129097,0.9960604756839418,0.11251891864477488,0.3687710641026152,0.36870331149926616,0.15000670575334366,0.10617617279150482,0.43364024072055085,0.4393136564605482,0.02086993002739601
55,0.000475092652010868,1.2984126352100427e-05,4.9169971680776296e-05,0.9994627532499563,0.0032119967279315574,0.00010939078455334133,0.00041975210961941924,0.9962588603778956,0.10566339475199796,0.3726516807509151,0.37258961493631143,0.1490953095607756,0.09944873656832293,0.4370680074911025,0.44279387511245877,0.02068938082811575
56,0.00044839064704453406,1.3032241671947142e-05,4.957888553586582e-05,0.9994889982257477,0.003031926568505361,0.00010981267778767327,0.00042330660258788847,0.9964349541511192,0.0995957573552627,0.3760826743390897,0.376025752933597,0.14829581537205058,0.09352417959449988,0.4400860664026395,0.4458582498553784,0.02053150414748227
57,0.0004245363043795497,1.3074671996996234e-05,4.994367617987883e-05,0.9995124453474437,0.0028710143535621182,0.00011018501994925253,0.00042647854070037856,0.9965923220857882,0.09418750644370323,0.37913797753886536,0.37908572963517295,0.14758878638225845,0.08826670402036016,0.4427638170901389,0.44857719942711766,0.020392279462383096
58,0.00040309628797150204,1.3112368228313256e-05,5.02711334302625e-05,0.99953352021037,0.002726351340243934,0.00011051605737278848,0.00042932665109471265,0.9967338059512887,0.08933665274531219,0.3818761440586459,0.3818281587728036,0.14695904442323818,0.08356953158249958,0.4451558075171431,0.45100607671584675,0.02026858418451043
59,0.0003837210997490234,1.3146080447545214e-05,5.0566719396270605e-05,0.9995525661004072,0.00259559034479625,0.00011081230238097743,0.00043189820300093405,0.9968616991498218,0.08496121505443435,0.38434415224881396,0.38430006931589294,0.14639456338085863,0.0793475387471612,0.44730550839157485,0.4531889967067693,0.020157956154494568
60,0.0003661257041564885,1.3176408273441261e-05,5.0834878470493934e-05,0.9995698630090996,0.0024768162240484293,0.0001110789664752935,0.0004342316772856545,0.9969778731321907,0.08099454222679349,0.3865801323945531,0.3865396344383691,0.14588569094028428,0.07553202798397754,0.4492479913524354,0.45516155289028676,0.020058427773300094
61,0.00035007529765364504,1.320383676316571e-05,5.1079264126492735e-05,0.9995856416014567,0.0023684506838288406,0.00011132026958358003,0.0004363587209745912,0.997083870325613,0.07738188921547437,0.3886153573520028,0.38857816351377683,0.14542458991874602,0.07206694525008164,0.45101186548098005,0.4569527815665072,0.019968407702431086
62,0.00033537469460839776,1.3228762542762074e-05,5.1302907682390944e-05,0.9996000936351664,0.0022691812341544717,0.00011153966540641878,0.00043830560258492857,0.9971809734978543,0.07407787164345386,0.39047571850895024,0.390441579175913,0.14500483067168282,0.06890609730973464,0.45262070128777115,0.45858660637494575,0.019886595027548363
63,0.0003218602987358417,1.32515130662745e-05,5.150834545711681e-05,0.9996133798427407,0.002177907420077245,0.00011174000770077013,0.0004400943093254193,0.9972702582628966,0.07104454673612852,0.39218283616394567,0.39215152858878893,0.14462108851113684,0.06601107340956243,0.4540940938613383,0.4600829168525295,0.01981191587656981
64,0.0003093939536206282,1.3272361064512564e-05,5.16977159807991e-05,0.999625635969334,0.0020936996158306656,0.00011192367515849852,0.00044174338635448115,0.9973526333226563,0.06824994785334203,0.3937549057867249,0.3937262304301349,0.14426891592979818,0.06334967162233723,0.4554484675814998,0.4614583848606962,0.019743475935466766
65,0.00029785817738004963,1.3291535514767652e-05,5.187283511342938e-05,0.9996369774519918,0.002015767078472794,0.00011209266631016554,0.0004432685856415311,0.9974288716695755,0.06566695225143691,0.39520735060587797,0.39518112806810246,0.1439445690745828,0.06089469238157569,0.45669769285819406,0.46272709033741066,0.0196805244228195
66,0.00028715243097465575,1.3309230076145936e-05,5.2035254752084003e-05,0.9996475030841971,0.0019434329200241583,0.00011224867256940157,0.0004446833733041189,0.9974996350341023,0.06327239690283229,0.3965533304008566,0.3965293988350504,0.14364487386126074,0.058623002946698005,0.45785356423500545,0.46390100641339627,0.01962242640490036
67,0.0002678964784595955,1.3340815588084867e-05,5.2327152115391615e-05,0.9996664355538369,0.001813306674519371,0.00011252728992688651,0.00044722647293629663,0.9976269395626174,0.058971712008103354,0.39896953863447265,0.3989497630561478,0.14310898630127614,0.054553051443140016,0.4599242130173723,0.46600402966982307,0.019518705869664626
68,0.0002592061982945093,1.3354969643678087e-05,5.245878598500135e-05,0.9996749800460769,0.0017545709742229612,0.00011265220236605477,0.00044837350600977175,0.9976844033174013,0.05703345830273085,0.40005798333646764,0.40004009817631864,0.14286846018448282,0.05272299001732181,0.46085519791353113,0.4669495909921164,0.01947222107703066
69,0.0002510623692797405,1.3368177224663225e-05,5.2582085868007995e-05,0.9996829873676276,0.0016995233885955788,0.00011276879518728707,0.0004494480302335458,0.9977382597859836,0.055218590942440936,0.40107685725309655,0.4010607519663318,0.14264379983813075,0.0510117842580138,0.46172567052310304,0.46783370415441944,0.019428841064463635
70,0.00024341498856962065,1.338053016086746e-05,5.269781943142975e-05,0.9996905066618381,0.0016478269003039276,0.0001128778726831416,0.0004504567147000513,0.9977888385123129,0.0535156891079994,0.40203262624605196,0.40201819964658986,0.1424334849993588,0.04940821464894661,0.4625413474487986,0.46866217314165826,0.019388264760596383
71,0.00023621997723508828,1.339210878580701e-05,5.280666284320173e-05,0.9996975812511358,0.001599184366024653,0.00011298013878189015,0.00045140543473453867,0.9978364300604589,0.05191469954363589,0.4029309787813367,0.40291813802202125,0.1422361836530061,0.04790243123766665,0.4633072469345743,0.46944009302381534,0.019350228803943624
72,0.0002294383275133196,1.3402983671024307e-05,5.290921397303876e-05,0.9997042494748426,0.0015533327839301542,0.0001130762121465442,0.00045229938626359286,0.9978812916176598,0.05040673777575069,0.4037769393462729,0.40376559903318265,0.14205072384479375,0.04648575077371985,0.46402779237883585,0.4701719550172159,0.019314501830228457
73,0.00022303539361859901,1.3413217068747195e-05,5.300600343482568e-05,0.9997105453858779,0.0015100385250613585,0.00011316663873754648,0.00045314318149936586,0.9979236516547018,0.04898392303826648,0.4045749626386313,0.40456504405903687,0.14187607026406543,0.04515048887954617,0.4647068979711581,0.470861733404643,0.019280879744652816
74,0.00021698029818897414,1.3422864095535945e-05,5.309750376080687e-05,0.9997164993339548,0.0014690933412906265,0.00011325190212900722,0.0004539409284627973,0.9979637138281175,0.04763924040416668,0.4053290121139268,0.40532044256100375,0.1417113049209027,0.04388982038965308,0.4653480399367847,0.4715129578497146,0.01924918182384775
75,0.00021124543338744948,1.3431973735440894e-05,5.3184137183308195e-05,0.9997221384556938,0.0014303110091582214,0.00011333243225140968,0.0004546962984428172,0.9980016602601476,0.046366425042742035,0.40604262593166407,0.40603533811186304,0.14155561091373092,0.042697662492253485,0.46595431614901284,0.47212877390612573,0.01921924745260796
76,0.0002058060389760611,1.3440589665938258e-05,5.326628213197798e-05,0.999727487089226,0.001393524490908485,0.00011340861259769693,0.0004554125823430718,0.9980376543141508,0.04515986455246718,0.406718972471129,0.40671290398246324,0.14140825899394058,0.041568576442120336,0.4665284962472201,0.47271199389109086,0.01919093341956866
77,0.00020063984425153542,1.3448750951050091e-05,5.3344278757803566e-05,0.9997325671260396,0.001358583524748081,0.00011348078627401907,0.0004560927385966439,0.9980718429503813,0.044014516179187536,0.40736089746134846,0.40735599033270403,0.14126859602675992,0.040497684491724605,0.4670730640059367,0.4732651398940694,0.01916411160826948
78,0.00019572676277105445,1.3456492645712911e-05,5.341843369302451e-05,0.9997373983108903,0.0013253525699896205,0.00011354926127270704,0.00045673943445427275,0.9981043587342834,0.042925836321100225,0.4079709640215125,0.40796716430466773,0.1411360353527195,0.03948059935806874,0.46759025329532244,0.47379048028103943,0.019138667065569506
79,0.00019104863081536785,1.3463846290079788e-05,5.348902405731923e-05,0.9997419984988373,0.0012937090462798303,0.00011361431479256541,0.00045735508075027545,0.9981353215581774,0.041889720253815495,0.40855148690918347,0.4085487443165076,0.1410100485204934,0.038513364073034725,0.46808207874937535,0.4742900608271774,0.019114496350412596
80,0.00018658898265552199,1.3470840342938401e-05,5.3556300941110716e-05,0.9997463838760604,0.0012635418203486696,0.00011367619702499772,0.00045794186213054345,0.9981648401204958,0.040902450383688845,0.4091045618981277,0.4091028294799851,0.14089015823819834,0.037592400475701046,0.4685503620238965,0.4747657313730775,0.01909150612732503
81,0.00018233285652083432,1.3477500543053916e-05,5.362049236607981e-05,0.99975056915057,0.0012347498992714046,0.00011373513431492449,0.0004585017627542444,0.9981930132036595,0.03996065165306724,0.40963209106448567,0.409631324921265,0.14077593236118208,0.03671446493153516,0.4689967543652941,0.47521916873633985,0.01906961196683087
