tie_line,phase1_x_2-phenylethanol,phase1_x_thymol,phase1_x_geraniol,phase1_x_water4C_aparicio2007,phase1_w_2-phenylethanol,phase1_w_thymol,phase1_w_geraniol,phase1_w_water4C_aparicio2007,phase2_x_2-phenylethanol,phase2_x_thymol,phase2_x_geraniol,phase2_x_water4C_aparicio2007,phase2_w_2-phenylethanol,phase2_w_thymol,phase2_w_geraniol,phase2_w_water4C_aparicio2007
337,0.0030832420600471282,2.6030516384484763e-05,5.712673229652011e-06,0.9968850147503386,0.020541118093571682,0.0002132543873482896,4.805648356287558e-05,0.9791975710355171,0.6486596832052415,0.027209839592747687,0.0272460079965978,0.29688446920541306,0.8531686513986569,0.044009121460635445,0.045249836283939186,0.05757239085676847
338,0.0028387464234968913,4.758324269874221e-05,1.0287019700722422e-05,0.9971033833141036,0.018934953042230234,0.0003902926753581979,8.664097932283437e-05,0.9805881133030887,0.6067846665301093,0.050867399095354655,0.050927002770158436,0.2914209316043776,0.7813272014899265,0.08054463402726582,0.08280234045611581,0.05532582402669179
339,0.002631804384370145,6.578202434030293e-05,1.4047499963852148e-05,0.9972883660913257,0.017572491762549547,0.0005401143425920155,0.000118433599997224,0.9817689602948612,0.5696705424268341,0.07158707291587277,0.07166142447309788,0.2870809601841953,0.7206333593386172,0.11135864516424751,0.11446486097768833,0.05354313451944702
340,0.0024539848417149414,8.138530827925102e-05,1.7201851652405957e-05,0.9974474279983534,0.016399561198888395,0.0006688136044219974,0.00014515489927935445,0.9827864702974103,0.5366359867375349,0.08986332702539362,0.08994639330160466,0.2835542929354668,0.6686872128595871,0.1376969917691698,0.1415217295685169,0.05209406580272631
341,0.002299316703923897,9.492955184497136e-05,1.9890489362090348e-05,0.9975858632548691,0.015377677145472196,0.0007807142537412119,0.00016797071120401222,0.9836736378895826,0.5070929655697471,0.10609243153162315,0.10617996795153246,0.28063463494709723,0.6237282474205615,0.16046893249616187,0.16490983812710422,0.05089298195617233
342,0.0021634179788958046,0.00010680789079417671,2.221236722577938e-05,0.9977075617630843,0.0144785190469436,0.0008789937350396081,0.00018770450703009805,0.9844547827109867,0.4805454553655698,0.12059297685030752,0.12068197055791309,0.27817959722620955,0.5844371102463641,0.18035328614389529,0.18532834690932284,0.04988125670041765
343,0.0020429818222080618,0.00011731654575605928,2.423956705368924e-05,0.9978154620649822,0.013680661453488065,0.0009660522007430824,0.00020495739879480238,0.9851483289469741,0.4565784615415212,0.13362271925584332,0.1337110209830396,0.2760877982195959,0.5498062044694586,0.1978669480635597,0.20330945197732903,0.049017395489652706
344,0.001935455837437836,0.00012668378405281862,2.6026027952523378e-05,0.9979118343505569,0.012967529598300708,0.001043743400871235,0.00022018007853991426,0.9857685469222882,0.4348452389712831,0.14539176873410467,0.1454778438253142,0.2742851484692981,0.5190530412906952,0.21341039719737662,0.21926535925923826,0.048271202252689924
345,0.0018388328284862634,0.00013508881462210778,2.761302444914505e-05,0.9979984653324425,0.012326062342246228,0.0011135256766870918,0.00023371804102375568,0.986326693940043,0.4150554674322915,0.15607274673276114,0.15615550345050153,0.27271628238444573,0.4915608482893507,0.22729870066905647,0.23352027285375423,0.04762017818783847
346,0.0016721865771236952,0.0001495565887509894,3.0310686021673424e-05,0.9981479461481036,0.011218279576111692,0.001233802967421978,0.0002567635908147292,0.9872911538656515,0.38036825323598106,0.17471850743982173,0.17479255655062972,0.2701206827735675,0.4444832290140603,0.25106649606387066,0.2579111987663369,0.046539076155732155
