tie_line,phase1_x_2-phenylethanol,phase1_x_camphor,phase1_x_eugenol,phase1_x_water4C_aparicio2007,phase1_w_2-phenylethanol,phase1_w_camphor,phase1_w_eugenol,phase1_w_water4C_aparicio2007,phase2_x_2-phenylethanol,phase2_x_camphor,phase2_x_eugenol,phase2_x_water4C_aparicio2007,phase2_w_2-phenylethanol,phase2_w_camphor,phase2_w_eugenol,phase2_w_water4C_aparicio2007
58,0.00026970965761608233,1.3091532092799294e-05,8.455812735149562e-06,0.9997087429975561,0.0018261600548449433,0.00011045974573064697,7.695588310460273e-05,0.9979864243163199,0.0698540342228119,0.35032075944985464,0.3503244063164891,0.22950080001084427,0.06908519312890427,0.43174824449882465,0.465701896794657,0.03346466557761398
59,0.0002578145720859964,1.3112049857666892e-05,8.50071453150038e-06,0.9997205726635248,0.001745739342635009,0.00011064040427534741,7.736980451096509e-05,0.9980662504485787,0.06681330872729,0.3517194158114665,0.35172268246556676,0.22974459299567682,0.06603759682666281,0.43320738100230505,0.46727525860358254,0.03347976356744958
60,0.0002369160523684977,1.3147869558944745e-05,8.57986615430659e-06,0.9997413562119183,0.0016044213447997027,0.00011095593912418098,7.809955964675096e-05,0.9982065231564294,0.061462149490341914,0.3541773462990862,0.35417995340852376,0.23018055080204802,0.06068384840562913,0.43577004477820513,0.47003854732629324,0.0335075594898724
61,0.0002276874940482663,1.3163595761381477e-05,8.614925430257195e-06,0.9997505339847601,0.0015420060846301192,0.00011109452864402245,7.842283923210756e-05,0.9982684765474937,0.05909552179912621,0.35526300076292244,0.3552653201130011,0.2303761573249503,0.058319896732947935,0.43690134100001604,0.4712584151922541,0.033520347074782034
62,0.00021915076212272378,1.3178093744479054e-05,8.647414663059754e-06,0.9997590237294698,0.0014842639570965945,0.00011122232570826881,7.872244420222468e-05,0.9983257912729929,0.05690433656708333,0.3562674121722381,0.35626946726756403,0.23055878399311436,0.0561332566403285,0.4379476469125494,0.472386641496127,0.03353245495099506
63,0.00021123089081857296,1.3191501949759348e-05,8.677606302698238e-06,0.9997669000009289,0.0014306891987144509,0.00011134054354101676,7.900088184347825e-05,0.9983789693759011,0.05486978803450653,0.35719936995400553,0.3572011815670918,0.23072966044439613,0.054104695850408946,0.43891819547915645,0.47343318148839636,0.033543927182038205
64,0.00020386336658506442,1.320393908910944e-05,8.705735421505468e-06,0.9997742269589044,0.0013808464803785766,0.00011145022280245518,7.926031581437337e-05,0.9984284429810046,0.05297566483048642,0.35806644095833673,0.3580680275334156,0.23088986667776124,0.05221766699014303,0.4398209289256698,0.47440659874336677,0.03355480534082036
65,0.00019699236568702276,1.3215506970965855e-05,8.732006265375255e-06,0.9997810601210766,0.0013343590443892102,0.00011155225642823511,7.950262628643128e-05,0.9984745860728962,0.05120791734706132,0.35887517311068406,0.35887655109572386,0.2310403584465308,0.050457854739313,0.4406627164066551,0.47531429984151624,0.03356512901251558
66,0.00019056933983231173,1.3226293552152443e-05,8.756597061271148e-06,0.9997874477695542,0.0012908991817190414,0.00011164741618439689,7.972945412353249e-05,0.998517723947973,0.049554309193106355,0.35963126167292664,0.35963244579510767,0.2311819833388593,0.04881281170490107,0.44144952941010185,0.4761627234884218,0.0335749353965752
67,0.00018455186978054409,1.3236375508228661e-05,8.779663830399521e-06,0.9997934320908808,0.0012501805116518691,0.00011173637501289589,7.994223593950525e-05,0.9985581408773958,0.048004134043382246,0.360339684704036,0.3603406881997939,0.23131549305278784,0.0472716633482053,0.44218658396783417,0.47695749384476555,0.033584258839194955
